Spot ID,Substance
1,NA
2,SPCSV#1
3,SPCSV#2
4,SPCSV#3
5,SPCSV#4
6,SPCSV#5
7,SPCSV#6
8,SPCSV#7-WA
9,SPCSV#7-EA
10,SPCFV#1
11,SPCFV#2
12,SPCFV#3
13,SPCFV#4
14,SPCFV#5
15,NA
16,SPLSV#5
17,NA
18,NA
19,SPCFV#6a
20,SPCFV#6b
21,SPCFV#7
22,SPCFV#8
23,SPMS#1
24,SPMS#3
25,SPMS#4
26,SPCLV#1
27,SPCLV#2
28,NA
29,NA
30,SPLCV#1
31,SPLV#4
32,NA
33,NA
34,SPCLV#3
35,SPMMV#2
36,SPMMV#3
37,SPMMV#5
38,SPMMV#6
39,SPMMV#8
40,SPMMV#9
41,SPLSV#1
42,SPLSV#2
43,NA
44,NA
45,TSV#4
46,SPLV#5
47,SPVG#3
48,SPVG#4
49,SPVG#5
50,SPV2#4
51,SPV2#5
52,SPV2#6
53,TMV#1
54,TMV#5
55,TMV#6
56,TMV#7
57,TMV#8
58,TSV#1
59,TSV#2
60,TSV#3
61,SPLCV#2
62,IYVV#1
63,IYVV#2
64,IYVV#3
65,IYVV#4
66,IYVV#5
67,SPFMV#2
68,SPFMV#3
69,SPFMV#4
70,SPFMV#5
71,SPFMV#6
72,CMV#1
73,CMV#4
74,CMV#6
75,CMV#7
76,plant_18S
77,SP-rbcL#1
78,SP-rbcL#2
79,SP-rbcL#3
80,SP-rbcL#4
81,neg-
82,neg-
83,SPCSV#9-WA
84,SPCSV#10-WA
85,SPCSV#11-WA
86,SPVG#6
87,SPVG#7
88,SPVG#8
89,SPV2#7
90,SPV2#8
91,SPV2#9
92,SPVZ#1
93,SPVZ#2
94,SPVZ#3
95,SPVZ#4
96,SPSMV-1#1
97,SPSMV-1#2
98,SPSMV-1#3
99,SPPV#1a
100,SPPV#1b
101,SPPV2a
102,SPPV2b
103,SPCFV#9
104,SPCFV#10
105,SPCFV#11
106,SPVCV#1
107,SPVCV#2
108,SPVCV#3
109,SPVCV#4
110,"Biotin-Marke_2,5uM"
111,SPCSV#1
112,SPCSV#2
113,SPCSV#3
114,SPCSV#4
115,SPCSV#5
116,SPCSV#6
117,SPCSV#7-WA
118,SPCSV#7-EA
119,SPCFV#1
120,SPCFV#2
121,SPCFV#3
122,SPCFV#4
123,SPCFV#5
124,SPCFV#6a
125,SPCFV#6b
126,SPCFV#7
127,SPCFV#8
128,SPMS#1
129,SPMS#3
130,SPMS#4
131,SPCLV#1
132,SPCLV#2
133,SPCLV#3
134,SPMMV#2
135,SPMMV#3
136,SPMMV#5
137,SPMMV#6
138,SPMMV#8
139,SPMMV#9
140,SPLSV#1
141,SPLSV#2
142,SPLSV#5
143,SPLV#4
144,SPLV#5
145,SPVG#3
146,SPVG#4
147,SPVG#5
148,SPV2#4
149,SPV2#5
150,SPV2#6
151,TMV#6
152,TMV#7
153,TMV#8
154,TSV#1
155,TSV#2
156,TSV#3
157,TSV#4
158,SPLCV#1
159,SPLCV#2
160,IYVV#1
161,IYVV#2
162,IYVV#3
163,IYVV#4
164,IYVV#5
165,SPFMV#2
166,TMV#5
167,NA
168,NA
169,SPFMV#3
170,SPFMV#4
171,SPFMV#5
172,SPFMV#6
173,CMV#1
174,CMV#4
175,CMV#6
176,CMV#7
177,plant_18S
178,SP-rbcL#1
179,NA
180,NA
181,TMV#1
182,NA
183,NA
184,SP-rbcL#2
185,SP-rbcL#3
186,SP-rbcL#4
187,neg-
188,neg-
189,SPCSV#9-WA
190,SPCSV#10-WA
191,SPCSV#11-WA
192,SPVG#6
193,SPVG#7
194,NA
195,NA
196,NA
197,NA
198,NA
199,SPVG#8
200,SPV2#7
201,SPV2#8
202,SPV2#9
203,SPVZ#1
204,SPVZ#2
205,SPVZ#3
206,SPVZ#4
207,SPSMV-1#1
208,SPSMV-1#2
209,SPSMV-1#3
210,SPPV#1a
211,NA
212,NA
213,SPPV#1b
214,SPPV2a
215,SPPV2b
216,SPCFV#9
217,SPCFV#10
218,SPCFV#11
219,SPVCV#1
220,SPVCV#2
221,SPVCV#3
222,SPVCV#4
223,"Biotin-Marke_2,5uM"
224,NA
225,NA
