ID,Substance,,,,,,,,
4,SPCSV#1,,,,,,,,
5,SPCSV#2,,,,,,,,
6,SPCSV#3,,,,,,,,
7,SPCSV#4,,,,,,,,
8,SPCSV#5,,,,,,,,
9,SPCSV#6,,,,,,,,
10,SPCSV#7-WA,,,,,,,,
11,SPCSV#7-EA,,,,,,,,
12,SPCSV#8-WA,,,,,,,,
19,SPCSV#8-EA,,,,,,,,
20,SPCFV#1,,,,,,,,
21,SPCFV#2,,,,,,,,
22,SPCFV#3,,,,,,,,
23,SPCFV#4,,,,,,,,
24,SPCFV#5,,,,,,,,
25,SPCFV#6a,,,,,,,,
26,SPCFV#6b,,,,,,,,
27,SPCFV#7,,,,,,,,
34,SPCFV#8,,,,,,,,
35,SPMS#1,,,,,,,,
36,SPMS#2,,,,,,,,
37,SPMS#3,,,,,,,,
38,SPMS#4,,,,,,,,
39,SPMS#5,,,,,,,,
40,SPCLV#1,,,,,,,,
41,SPCLV#2,,,,,,,,
42,SPCLV#3,,,,,,,,
46,SPMMV#1,,,,,,,,
47,SPMMV#2,,,,,,,,
48,SPMMV#3,,,,,,,,
49,SPMMV#4,,,,,,,,
50,SPMMV#5,,,,,,,,
51,SPMMV#6,,,,,,,,
52,SPMMV#7,,,,,,,,
53,SPMMV#8,,,,,,,,
54,SPMMV#9,,,,,,,,
55,SPLSV#1,,,,,,,,
56,SPLSV#2,,,,,,,,
57,SPLSV#4,,,,,,,,
58,SPLSV#5,,,,,,,,
59,SPLV#1,,,,,,,,
60,SPLV#2,,,,,,,,
61,SPLV#3,,,,,,,,
62,SPLV#4,,,,,,,,
63,SPLV#5,,,,,,,,
64,SPVG#1,,,,,,,,
65,SPVG#2,,,,,,,,
66,SPVG#3,,,,,,,,
67,SPVG#4,,,,,,,,
68,SPVG#5,,,,,,,,
69,SPV2#1,,,,,,,,
70,SPV2#2,,,,,,,,
71,SPV2#3,,,,,,,,
72,SPV2#4,,,,,,,,
73,SPV2#5,,,,,,,,
74,SPV2#6,,,,,,,,
75,TMV#1,,,,,,,,
76,TMV#4,,,,,,,,
77,TMV#5,,,,,,,,
78,TMV#6,,,,,,,,
79,TMV#7,,,,,,,,
80,TMV#8,,,,,,,,
81,TSV#1,,,,,,,,
82,TSV#2,,,,,,,,
83,TSV#3,,,,,,,,
84,TSV#4,,,,,,,,
85,TSV#5,,,,,,,,
86,SPLCV#1,,,,,,,,
87,SPLCV#2,,,,,,,,
88,SPLCV#3,,,,,,,,
89,IYVV#1,,,,,,,,
90,IYVV#2,,,,,,,,
91,IYVV#3,,,,,,,,
92,IYVV#4,,,,,,,,
93,IYVV#5,,,,,,,,
94,SPFMV#2,,,,,,,,
95,SPFMV#3,,,,,,,,
96,SPFMV#4,,,,,,,,
97,SPFMV#5,,,,,,,,
98,SPFMV#6,,,,,,,,
99,CMV#1,,,,,,,,
100,CMV#4,,,,,,,,
101,CMV#5,,,,,,,,
102,CMV#6,,,,,,,,
103,CMV#7,,,,,,,,
104,plant 18S,,,,,,,,
105,SP-rbcL#1,,,,,,,,
106,SP-rbcL#2,,,,,,,,
107,SP-rbcL#3,,,,,,,,
108,SP-rbcL#4,,,,,,,,
109,neg-1,,,,,,,,
110,neg-2,,,,,,,,
111,Spotting Puffer,,,,,,,,
112,"Biotin-Marke_2,5uM",,,,,,,,
